Other crime: England, Barking and Dagenham London Boro, Barking, Barking and Dagenham, London, Redbridge London Boro, Redbridge, Ilford South, IG118TG, Y53Q36, Abbey, On or near Cranleigh Gardens
Anti-social behaviour: England, Yorkshire and the Humber, West Yorkshire, Bradford District, Bradford East, BD2 2LQ, Y51Q32, Eccleshill, On or near Acre Close
Other theft: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RJ, Y51Q32, Low Harrogate, On or near Cheltenham Crescent
Other theft: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1DL, Y51Q32, Low Harrogate, On or near Mount Parade
Public order: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RJ, Y51Q32, Low Harrogate, On or near Cheltenham Crescent
Public order: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RJ, Y51Q32, Low Harrogate, On or near Cheltenham Crescent
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1RW, Y51Q32, Low Harrogate, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1PW, Y51Q32, Low Harrogate, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1NS, Y51Q32, Low Harrogate, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RJ, Y51Q32, Low Harrogate, On or near Cheltenham Crescent
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1BL, Y51Q32, Low Harrogate, On or near Parking Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1HS, Y51Q32, Low Harrogate, On or near Albert Terrace
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1NS, Y51Q32, Low Harrogate, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1NS, Y51Q32, Low Harrogate, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1NS, Y51Q32, Low Harrogate, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1PW, Y51Q32, Low Harrogate, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1NS, Y51Q32, Low Harrogate, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1RW, Y51Q32, Low Harrogate, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1NS, Y51Q32, Low Harrogate, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1BL, Y51Q32, Low Harrogate, On or near Parking Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1PW, Y51Q32, Low Harrogate, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1RW, Y51Q32, Low Harrogate, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1HS, Y51Q32, Low Harrogate, On or near Albert Terrace
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RE, Y51Q32, Low Harrogate, On or near Oxford Street
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1NS, Y51Q32, Low Harrogate, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1PW, Y51Q32, Low Harrogate, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1NS, Y51Q32, Low Harrogate, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RR, Y51Q32, Low Harrogate, On or near Parliament Street
Theft from the person: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RS, Y51Q32, Low Harrogate, On or near Nightclub
Theft from the person: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RS, Y51Q32, Low Harrogate, On or near Nightclub
Theft from the person: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1PW, Y51Q32, Low Harrogate, On or near Shopping Area
Theft from the person: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RS, Y51Q32, Low Harrogate, On or near Nightclub
Theft from the person: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RS, Y51Q32, Low Harrogate, On or near Nightclub
Theft from the person: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RS, Y51Q32, Low Harrogate, On or near Nightclub
Theft from the person: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RS, Y51Q32, Low Harrogate, On or near Nightclub
Theft from the person: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1RW, Y51Q32, Low Harrogate, On or near Shopping Area
Theft from the person: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RS, Y51Q32, Low Harrogate, On or near Nightclub
Vehicle crime: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2HL, Y51Q32, Harlow Moor, On or near Crescent Gardens
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RS, Y51Q32, Low Harrogate, On or near Nightclub
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RZ, Y51Q32, Low Harrogate, On or near Montpellier Gardens
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RJ, Y51Q32, Low Harrogate, On or near Cheltenham Crescent
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1BL, Y51Q32, Low Harrogate, On or near Parking Area
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RS, Y51Q32, Low Harrogate, On or near Nightclub
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RZ, Y51Q32, Low Harrogate, On or near Montpellier Gardens
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1BL, Y51Q32, Low Harrogate, On or near Parking Area
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1QX, Y51Q32, Low Harrogate, On or near Shopping Area
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RS, Y51Q32, Low Harrogate, On or near Nightclub
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1DL, Y51Q32, Low Harrogate, On or near Mount Parade
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RZ, Y51Q32, Low Harrogate, On or near Montpellier Mews
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RS, Y51Q32, Low Harrogate, On or near Nightclub
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RJ, Y51Q32, Low Harrogate, On or near Cheltenham Crescent
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RS, Y51Q32, Low Harrogate, On or near Nightclub
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2SA, Y51Q32, Low Harrogate, On or near Crescent Road
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RJ, Y51Q32, Low Harrogate, On or near Cheltenham Crescent
Other crime: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2RJ, Y51Q32, Low Harrogate, On or near Cheltenham Crescent
Other crime: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 1LB, Y51Q32, Low Harrogate, On or near Raglan Street
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2PQ, Y51Q32, Harlow Moor, On or near Valley Drive
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2PQ, Y51Q32, Harlow Moor, On or near Valley Drive
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2PQ, Y51Q32, Harlow Moor, On or near Valley Drive
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2PQ, Y51Q32, Harlow Moor, On or near Valley Drive
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 0NN, Y51Q32, Low Harrogate, On or near Belmont Road
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2PQ, Y51Q32, Harlow Moor, On or near Valley Drive
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2PQ, Y51Q32, Harlow Moor, On or near Valley Drive
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2PQ, Y51Q32, Harlow Moor, On or near Valley Drive
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 0NA, Y51Q32, Low Harrogate, On or near St Mary'S Avenue
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2PQ, Y51Q32, Harlow Moor, On or near Valley Drive
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2PQ, Y51Q32, Harlow Moor, On or near Valley Drive
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2PQ, Y51Q32, Harlow Moor, On or near Valley Drive
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 0JR, Y51Q32, Low Harrogate, On or near Cold Bath Road
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 0JR, Y51Q32, Low Harrogate, On or near Cold Bath Road
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 0JR, Y51Q32, Low Harrogate, On or near Cold Bath Road
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2PQ, Y51Q32, Harlow Moor, On or near Valley Drive
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2PQ, Y51Q32, Harlow Moor, On or near Valley Drive
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2PQ, Y51Q32, Harlow Moor, On or near Valley Drive
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 0NN, Y51Q32, Low Harrogate, On or near Belmont Road
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 0NA, Y51Q32, Low Harrogate, On or near St Mary'S Avenue
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 0NQ, Y51Q32, Low Harrogate, On or near Esplanade
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 0JW, Y51Q32, Low Harrogate, On or near Valley Mount
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 2PQ, Y51Q32, Harlow Moor, On or near Valley Drive
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Selby and Ainsty, YO267PX, Y51Q32, Marston Moor, On or near Kirk Lane
Other theft: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Selby and Ainsty, YO267QU, Y51Q32, Marston Moor, On or near Rudgate
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Selby and Ainsty, YO267QS, Y51Q32, Marston Moor, On or near Springfield Lane
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Selby and Ainsty, YO267QR, Y51Q32, Marston Moor, On or near Marston Road
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Selby and Ainsty, YO267NN, Y51Q32, Marston Moor, On or near Westlands
Burglary: England, Yorkshire and the Humber, North Yorkshire, West Yorkshire, Harrogate District, Leeds District, Selby and Ainsty, Elmet and Rothwell, LS248BN, Y51Q32, Marston Moor, On or near Featherbed Lane
Vehicle crime: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Selby and Ainsty, LS248BG, Y51Q32, Marston Moor, On or near Church Lane
Other crime: England, Yorkshire and the Humber, Harrogate District, Selby and Ainsty, Selby District, York, YO233PA, Y51Q32, Marston Moor, On or near Collier Hag Lane
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, YO269RJ, Y51Q32, Ouseburn, On or near Branton Court
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, YO269RJ, Y51Q32, Ouseburn, On or near Branton Court
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Selby and Ainsty, YO269RG, Y51Q32, Ouseburn, On or near Townend Court
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Selby and Ainsty, YO268WA, Y51Q32, Ouseburn, On or near Meadow Vale
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Selby and Ainsty, York, York, York Outer, YO268JL, Y51Q32, Ouseburn, On or near Marston Lane
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Hambleton District, Selby and Ainsty, Thirsk and Malton, YO268ES, Y51Q32, Ouseburn, On or near The Avenue
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Selby and Ainsty, YO269SJ, Y51Q32, Ouseburn, On or near Mill Lane
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Selby and Ainsty, LS225JA, Y51Q32, Ribston, On or near Back Lane
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Selby and Ainsty, YO268BX, Y51Q32, Ribston, On or near Park Way
Burglary: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG5 0RT, Y51Q32, Ribston, On or near Shortsill Lane
Other theft: England, Yorkshire and the Humber, North Yorkshire, West Yorkshire, Harrogate District, Leeds District, Selby and Ainsty, Elmet and Rothwell, LS227XW, Y51Q32, Wetherby, On or near B1224
Other theft: England, Yorkshire and the Humber, North Yorkshire, West Yorkshire, Harrogate District, Leeds District, Selby and Ainsty, Elmet and Rothwell, LS227XW, Y51Q32, Wetherby, On or near B1224
Other theft: England, Yorkshire and the Humber, North Yorkshire, West Yorkshire, Harrogate District, Leeds District, Selby and Ainsty, Elmet and Rothwell, LS227XW, Y51Q32, Wetherby, On or near B1224
Other theft: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG5 0RT, Y51Q32, Ribston, On or near Shortsill Lane
Other theft: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Selby and Ainsty, YO268DD, Y51Q32, Ribston, On or near Old Church Green
Other theft: England, Yorkshire and the Humber, North Yorkshire, West Yorkshire, Harrogate District, Leeds District, Selby and Ainsty, Elmet and Rothwell, LS227XW, Y51Q32, Wetherby, On or near B1224
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG3 1DG, Y51Q32, Hookstone, On or near Crimple Lane
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG3 1DG, Y51Q32, Hookstone, On or near Crimple Lane
Other theft: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 7SE, Y51Q32, Granby, On or near Petrol Station
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG2 7AN, Y51Q32, Hookstone, On or near Rudbeck Close
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG2 7TL, Y51Q32, Hookstone, On or near Bowland Close
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG2 7TL, Y51Q32, Hookstone, On or near Bowland Close
Burglary: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 7QQ, Y51Q32, Granby, On or near Woodlands Drive
Burglary: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 7AX, Y51Q32, Granby, On or near Woodlands Road
Other theft: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG2 7AJ, Y51Q32, Hookstone, On or near Rudbeck Crescent
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG2 7AJ, Y51Q32, Hookstone, On or near Rudbeck Crescent
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG2 7AJ, Y51Q32, Hookstone, On or near Rudbeck Crescent
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG2 7AJ, Y51Q32, Hookstone, On or near Rudbeck Crescent
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG2 7AJ, Y51Q32, Hookstone, On or near Rudbeck Crescent
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG2 7TL, Y51Q32, Hookstone, On or near Bowland Close
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG2 7TL, Y51Q32, Hookstone, On or near Bowland Close
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 8NT, Y51Q32, Hookstone, On or near St Leonard'S Close
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 8PA, Y51Q32, Hookstone, On or near Hornbeam Square North
Other theft: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 8QJ, Y51Q32, Stray, On or near Hornbeam Park Road
Vehicle crime: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 8JT, Y51Q32, Stray, On or near St Ronan'S Road
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG2 7TN, Y51Q32, Hookstone, On or near Dalby Avenue
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 7LD, Y51Q32, Hookstone, On or near Petrol Station
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG2 7HF, Y51Q32, Hookstone, On or near Sherwood Drive
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, Selby and Ainsty, HG2 7TN, Y51Q32, Hookstone, On or near Dalby Avenue
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 7BN, Y51Q32, Starbeck, On or near Prospect Road
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 7BN, Y51Q32, Starbeck, On or near Prospect Road
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 7BN, Y51Q32, Starbeck, On or near Prospect Road
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 7BN, Y51Q32, Starbeck, On or near Prospect Road
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 7BN, Y51Q32, Starbeck, On or near Prospect Road
Vehicle crime: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 7DN, Y51Q32, Hookstone, On or near Rothbury Close
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 7DB, Y51Q32, Hookstone, On or near Hookstone Way
Other crime: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 7BN, Y51Q32, Starbeck, On or near Prospect Road
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 8ER, Y51Q32, Pannal, On or near Birchwood Mews
Other theft: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 8BW, Y51Q32, Pannal, On or near Beechwood Grove
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 8BZ, Y51Q32, Pannal, On or near Beech Avenue
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 8BZ, Y51Q32, Pannal, On or near Beech Avenue
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG1 5AF, Y51Q32, High Harrogate, On or near Knaresborough Road
Burglary: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 8QR, Y51Q32, Stray, On or near Hornbeam Crescent
Vehicle crime: England, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG2 8QR, Y51Q32, Stray, On or near Hornbeam Crescent
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, HG3 2PN, Y51Q32, Lower Nidderdale, On or near Darley Road
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, HG3 2JZ, Y51Q32, Lower Nidderdale, On or near White Wall Lane
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, HG3 2JZ, Y51Q32, Lower Nidderdale, On or near White Wall Lane
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, HG3 3HG, Y51Q32, Lower Nidderdale, On or near Sycamore Close
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, HG3 3DL, Y51Q32, Lower Nidderdale, On or near Whipley Lane
Other crime: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, HG3 2JH, Y51Q32, Lower Nidderdale, On or near Emmet Lane
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, HG3 2PU, Y51Q32, Nidd Valley, On or near Petrol Station
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, HG3 2QE, Y51Q32, Nidd Valley, On or near Valley Road
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, HG3 2RP, Y51Q32, Nidd Valley, On or near Sheepcote Lane
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, LS212RA, Y51Q32, Washburn, On or near B6451
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, West Yorkshire, Harrogate District, Leeds District, Leeds North West, LS212PS, Y51Q32, Washburn, On or near Petrol Station
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, West Yorkshire, Harrogate District, Leeds District, Leeds North West, LS212PS, Y51Q32, Washburn, On or near Petrol Station
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, HG3 1TA, Y51Q32, Washburn, On or near Watson'S Lane
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, LS212JX, Y51Q32, Washburn, On or near Leathley Lane
Shoplifting: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, West Yorkshire, Harrogate District, Leeds District, Leeds North West, LS212PS, Y51Q32, Washburn, On or near Petrol Station
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, Harrogate and Knaresborough, HG3 1QD, Y51Q32, Washburn, On or near Lady Lane
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, Leeds District, Leeds North West, LS212RR, Y51Q32, Washburn, On or near Throstle Nest Close
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, LS212QJ, Y51Q32, Washburn, On or near Park/Open Space
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Bradford District, Harrogate District, Shipley, LS212JA, Y51Q32, Washburn, On or near Back Lane
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, Leeds District, Leeds North West, LS212HB, Y51Q32, Washburn, On or near Roebuck Lane
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, Harrogate District, LS290ER, Y51Q32, Barden Fell, On or near Currer Lane
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, LS212JD, Y51Q32, Washburn, On or near Askwith Lane
Criminal damage and arson: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, Leeds District, Leeds North West, LS212QE, Y51Q32, Washburn, On or near Farnley Lane
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, North Yorkshire, Harrogate District, HG3 1RP, Y51Q32, Washburn, On or near Back Lane
