Anti-social behaviour: England, Sir y Fflint - Flintshire, Flintshire, Wales, North West, Alyn and Deeside, Cheshire West and Chester, Cheshire, City of Chester, CH4 8SE, W00Q99, Saltney Cyffordd yr Wyddgrug, Wales, Sir y Fflint - Flintshire, Flintshire, Wales, North West, Alyn and Deeside, Cheshire West and Chester, Cheshire, City of Chester, CH4 8SE, W00Q99, Saltney Cyffordd yr Wyddgrug, On or near High Street
Other theft: England, Sir y Fflint - Flintshire, Flintshire, Wales, North West, Alyn and Deeside, Cheshire West and Chester, Cheshire, City of Chester, CH4 8SE, W00Q99, Saltney Cyffordd yr Wyddgrug, Wales, Sir y Fflint - Flintshire, Flintshire, Wales, North West, Alyn and Deeside, Cheshire West and Chester, Cheshire, City of Chester, CH4 8SE, W00Q99, Saltney Cyffordd yr Wyddgrug, On or near High Street
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301PN, W00Q99, Tudno, On or near Queensway
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319LU, W00Q99, Marl, On or near Parking Area
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319HA, W00Q99, Pen-sarn, On or near Conway Road
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319NB, W00Q99, Pen-sarn, On or near Station Terrace
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319NS, W00Q99, Pen-sarn, On or near Penrhos Avenue
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319NG, W00Q99, Pen-sarn, On or near Glyn-Y-Marl Road
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319EY, W00Q99, Pen-sarn, On or near Bryn Derw
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319QG, W00Q99, Pen-sarn, On or near Pydew Road
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319UQ, W00Q99, Pen-sarn, On or near Maes Canol
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL285TG, W00Q99, Llansanffraid, On or near Llanrwst Road
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319NX, W00Q99, Pen-sarn, On or near A470
Burglary: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL285HY, W00Q99, Llansanffraid, On or near Tryfan
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319NX, W00Q99, Pen-sarn, On or near A470
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319NX, W00Q99, Pen-sarn, On or near A470
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228BS, W00Q99, Betws yn Rhos, On or near B5113
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL285BJ, W00Q99, Llansanffraid, On or near Benarth
Shoplifting: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319NX, W00Q99, Pen-sarn, On or near A470
Vehicle crime: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL285BX, W00Q99, Llansanffraid, On or near Tal Y Fan
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL285HY, W00Q99, Llansanffraid, On or near Ffordd Naddyn
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL285HY, W00Q99, Llansanffraid, On or near Ffordd Naddyn
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328YX, W00Q99, Caerhun, On or near Cae Siop
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328QF, W00Q99, Caerhun, On or near Llys Dulyn
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328GZ, W00Q99, Conwy, On or near Lon Padog
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328HA, W00Q99, Conwy, On or near Penmaen Crescent
Burglary: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328HB, W00Q99, Conwy, On or near Penmaen Road
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328EY, W00Q99, Conwy, On or near Mona Road
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328GS, W00Q99, Conwy, On or near Telford Close
Public order: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328GY, W00Q99, Conwy, On or near Gerddi'R Morfa
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328PH, W00Q99, Conwy, On or near Wind Street
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328PW, W00Q99, Conwy, On or near Bryn Celyn
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328BP, W00Q99, Conwy, On or near High Street
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328PZ, W00Q99, Conwy, On or near Conwy Police Station
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328RA, W00Q99, Conwy, On or near Ty Gwyn Gardens
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328SA, W00Q99, Conwy, On or near St Agnes Road
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328NY, W00Q99, Conwy, On or near Upper Gate Street
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328RU, W00Q99, Conwy, On or near Sports/Recreation Area
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328AL, W00Q99, Conwy, On or near Lower Gate Street
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328RW, W00Q99, Conwy, On or near Mount Park
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328PB, W00Q99, Conwy, On or near Watkin Street
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328RH, W00Q99, Conwy, On or near Pool Lane
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328LE, W00Q99, Conwy, On or near Llwyn Isaf
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328BD, W00Q99, Conwy, On or near Benarth Road
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328RW, W00Q99, Conwy, On or near Mount Park
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328AY, W00Q99, Conwy, On or near Shopping Area
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328RW, W00Q99, Conwy, On or near Mount Park
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328RW, W00Q99, Conwy, On or near Mount Park
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328AY, W00Q99, Conwy, On or near Shopping Area
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328ND, W00Q99, Conwy, On or near Isgoed
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328RP, W00Q99, Conwy, On or near Pen Garth
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328RP, W00Q99, Conwy, On or near Pen Garth
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328RP, W00Q99, Conwy, On or near Pen Garth
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328RP, W00Q99, Conwy, On or near Pen Garth
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328RP, W00Q99, Conwy, On or near Sports/Recreation Area
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328RP, W00Q99, Conwy, On or near Pen Garth
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330UA, W00Q99, Bryn, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330UA, W00Q99, Bryn, On or near Pool Street
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330BU, W00Q99, Bryn, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330BU, W00Q99, Bryn, On or near Glanmor Road
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330UA, W00Q99, Bryn, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330UA, W00Q99, Bryn, On or near Pool Street
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330DA, W00Q99, Bryn, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330DA, W00Q99, Bryn, On or near Shore Road
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330UW, W00Q99, Bryn, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330UW, W00Q99, Bryn, On or near Llwyn Gwgan
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330UA, W00Q99, Bryn, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330UA, W00Q99, Bryn, On or near Pool Street
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330HP, W00Q99, Bryn, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330HP, W00Q99, Bryn, On or near Pentre Uchaf
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346PT, W00Q99, Capel Lluo, On or near Ysguborwen Road
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346PT, W00Q99, Capel Lluo, On or near Mona Drive
Burglary: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346RA, W00Q99, Capel Lluo, On or near Cae Cyd Road
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346RA, W00Q99, Capel Lluo, On or near Cae Cyd Road
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346PT, W00Q99, Capel Lluo, On or near Ysguborwen Road
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, On or near South Street
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, On or near South Street
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330TF, W00Q99, Bryn, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330TF, W00Q99, Bryn, On or near Nant-Y-Berllan
Bicycle theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, On or near South Street
Burglary: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, On or near South Street
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330RS, W00Q99, Pandy, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330RS, W00Q99, Pandy, On or near Bryn Road
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, On or near South Street
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, On or near South Street
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, On or near South Street
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL330PN, W00Q99, Pandy, On or near South Street
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346AL, W00Q99, Pant-yr-afon/Penmaenan, On or near Bryn Difyr
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346WY, W00Q99, Pant-yr-afon/Penmaenan, On or near Ardre Close
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346AL, W00Q99, Pant-yr-afon/Penmaenan, On or near Bryn Difyr
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346AF, W00Q99, Pant-yr-afon/Penmaenan, On or near Parking Area
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346AU, W00Q99, Pant-yr-afon/Penmaenan, On or near Llys Sambrook
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346WY, W00Q99, Pant-yr-afon/Penmaenan, On or near Pant-Yr-Afon
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346AL, W00Q99, Pant-yr-afon/Penmaenan, On or near Bryn Difyr
Burglary: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346AL, W00Q99, Pant-yr-afon/Penmaenan, On or near Bryn Difyr
Burglary: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346WY, W00Q99, Pant-yr-afon/Penmaenan, On or near Ardre Close
Burglary: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346AF, W00Q99, Pant-yr-afon/Penmaenan, On or near Parking Area
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346WY, W00Q99, Pant-yr-afon/Penmaenan, On or near Pant-Yr-Afon
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346AH, W00Q99, Pant-yr-afon/Penmaenan, On or near Llys Clwyd
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346LT, W00Q99, Pant-yr-afon/Penmaenan, On or near Station Road West
Public order: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346WY, W00Q99, Pant-yr-afon/Penmaenan, On or near Pant-Yr-Afon
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346BD, W00Q99, Pant-yr-afon/Penmaenan, On or near Church Road
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346PA, W00Q99, Pant-yr-afon/Penmaenan, On or near Upper Maenen
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346NU, W00Q99, Pant-yr-afon/Penmaenan, On or near Upper Water Street
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346JA, W00Q99, Pant-yr-afon/Penmaenan, On or near Ffordd Bangor
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL346JA, W00Q99, Pant-yr-afon/Penmaenan, On or near Ffordd Bangor
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228AP, W00Q99, Betws yn Rhos, On or near Sports/Recreation Area
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228PN, W00Q99, Betws yn Rhos, On or near Parking Area
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228YH, W00Q99, Betws yn Rhos, On or near A548
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228SH, W00Q99, Betws yn Rhos, On or near Denbigh Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229BB, W00Q99, Betws yn Rhos, On or near Tan Y Fron Road
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228AP, W00Q99, Betws yn Rhos, On or near Sports/Recreation Area
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228DP, W00Q99, Betws yn Rhos, On or near Hospital
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228AP, W00Q99, Betws yn Rhos, On or near Sports/Recreation Area
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228BZ, W00Q99, Betws yn Rhos, On or near Dolwen Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228AP, W00Q99, Betws yn Rhos, On or near Sports/Recreation Area
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228PN, W00Q99, Betws yn Rhos, On or near Petrol Station
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228BD, W00Q99, Betws yn Rhos, On or near Park/Open Space
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL165HR, W00Q99, Llansannan, On or near Maes Creiniog
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Sir Ddinbych - Denbighshire, Wales, LL165PT, W00Q99, Llansannan, On or near B5435
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL165DD, W00Q99, Llansannan, On or near B5382
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL219TT, W00Q99, Uwchaled, On or near B4501
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL219TT, W00Q99, Uwchaled, On or near B4501
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL210RT, W00Q99, Uwchaled, On or near Maes-Y-Ffynnon
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL250JD, W00Q99, Betws-y-Coed, On or near Parking Area
Drugs: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL240DN, W00Q99, Betws-y-Coed, On or near Bwlch Y Maen
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL240AH, W00Q99, Betws-y-Coed, On or near Stryd Yr Orsaf
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL240AR, W00Q99, Betws-y-Coed, On or near Petrol Station
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL240BW, W00Q99, Betws-y-Coed, On or near Parking Area
Shoplifting: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL240BW, W00Q99, Betws-y-Coed, On or near Parking Area
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL260EP, W00Q99, Crwst, On or near Ancaster Square
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL260HH, W00Q99, Crwst, On or near Maes Melwr
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL260HH, W00Q99, Crwst, On or near Maes Melwr
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL260EP, W00Q99, Crwst, On or near Ancaster Square
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL260BU, W00Q99, Gwyr, On or near Plough Field
Shoplifting: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL260DA, W00Q99, Gwyr, On or near Willow Street
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL285AQ, W00Q99, Eglwysbach, On or near Heol Carrog
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL260DD, W00Q99, Eglwysbach, On or near Sports/Recreation Area
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL285BL, W00Q99, Eglwysbach, On or near Heol Ffynnon Asa
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL285BL, W00Q99, Eglwysbach, On or near Heol Ffynnon Asa
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL260DF, W00Q99, Gwyr, On or near Station Road
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL260DP, W00Q99, Gwyr, On or near Cae Llan
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL260DW, W00Q99, Gwyr, On or near Talybont Road
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL260DP, W00Q99, Gwyr, On or near Cae Llan
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL270JU, W00Q99, Trefriw, On or near Wood Bank
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328JN, W00Q99, Trefriw, On or near Gwydyr Road
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328JL, W00Q99, Trefriw, On or near Graham Road
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL328JY, W00Q99, Trefriw, On or near B5106
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL270RX, W00Q99, Trefriw, On or near Bro Gower
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL260PB, W00Q99, Uwch Conwy, On or near A548
Theft from the person: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL240NP, W00Q99, Uwch Conwy, On or near Church View
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL240YH, W00Q99, Uwch Conwy, On or near Bron Y Waen
Anti-social behaviour: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197LL, W00Q99, Prestatyn - Gogledd, On or near First Avenue
Anti-social behaviour: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197EU, W00Q99, Prestatyn - Gogledd, On or near Glan Mor
Anti-social behaviour: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197LT, W00Q99, Prestatyn - Gogledd, On or near Tre Borth
Anti-social behaviour: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197TF, W00Q99, Prestatyn - Gogledd, On or near Gorphwysfa Avenue
Anti-social behaviour: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197LT, W00Q99, Prestatyn - Gogledd, On or near Tre Borth
Burglary: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197SN, W00Q99, Prestatyn - Gogledd, On or near Gwelfryn
Burglary: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197SN, W00Q99, Prestatyn - Gogledd, On or near Gwelfryn
Criminal damage and arson: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197TH, W00Q99, Prestatyn - Gogledd, On or near Tywyn Isaf
Criminal damage and arson: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197EU, W00Q99, Prestatyn - Gogledd, On or near Glan Mor
Vehicle crime: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197LL, W00Q99, Prestatyn - Gogledd, On or near First Avenue
Violence and sexual offences: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197LL, W00Q99, Prestatyn - Gogledd, On or near First Avenue
Violence and sexual offences: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197SH, W00Q99, Prestatyn - Gogledd, On or near Sandy Lane
Violence and sexual offences: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197TT, W00Q99, Prestatyn - Gogledd, On or near Sea Road
Anti-social behaviour: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197UQ, W00Q99, Prestatyn - Gogledd, On or near Rhodfa Wyn
Anti-social behaviour: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197UG, W00Q99, Prestatyn - Gogledd, On or near Grasmere Close
Criminal damage and arson: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197YA, W00Q99, Prestatyn - Gogledd, On or near Sandhurst Road
Criminal damage and arson: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197PL, W00Q99, Prestatyn - Gogledd, On or near Llys Bran
Other theft: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197YA, W00Q99, Prestatyn - Gogledd, On or near Ferguson Avenue
Vehicle crime: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197SY, W00Q99, Prestatyn - Gogledd, On or near Purbeck Avenue
Violence and sexual offences: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197UG, W00Q99, Prestatyn - Gogledd, On or near Grasmere Close
Violence and sexual offences: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197UZ, W00Q99, Prestatyn - Gogledd, On or near Berwyn Crescent
Violence and sexual offences: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197RB, W00Q99, Prestatyn - Gogledd, On or near Beverley Drive
Violence and sexual offences: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197PL, W00Q99, Prestatyn - Gogledd, On or near Llys Vyrnwy
Violence and sexual offences: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197UJ, W00Q99, Prestatyn - Gogledd, On or near Rhodfa Cowlyd
Violence and sexual offences: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197PL, W00Q99, Prestatyn - Gogledd, On or near Llys Vyrnwy
Anti-social behaviour: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197YA, W00Q99, Prestatyn - Gogledd, On or near The Willows
Criminal damage and arson: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197AA, W00Q99, Prestatyn - Gogledd, On or near Plas Newydd Drive
Violence and sexual offences: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197YQ, W00Q99, Prestatyn - Gogledd, On or near Ceg-Y-Ffordd
Violence and sexual offences: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197YE, W00Q99, Prestatyn - Gogledd, On or near Archers Green
Violence and sexual offences: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL197YQ, W00Q99, Prestatyn - Gogledd, On or near Ceg-Y-Ffordd
Anti-social behaviour: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL199DG, W00Q99, Prestatyn - Canol, On or near Maes-Y-Groes
Anti-social behaviour: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL198TL, W00Q99, Prestatyn - Canol, On or near Conwy Grove
Anti-social behaviour: Wales, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL198EX, W00Q99, Prestatyn - Canol, On or near Sports/Recreation Area
